ID,XMIN,XMAX,YMIN,YMAX,PNTCNT,XCTR,YCTR
152,582379.000000000000000,582879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,582629.00000,5205034.00000
153,582879.000000000000000,583379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,583129.00000,5205034.00000
154,583379.000000000000000,583879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,583629.00000,5205034.00000
155,583879.000000000000000,584379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,584129.00000,5205034.00000
156,584379.000000000000000,584879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,584629.00000,5205034.00000
157,584879.000000000000000,585379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,585129.00000,5205034.00000
158,585379.000000000000000,585879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,585629.00000,5205034.00000
159,585879.000000000000000,586379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,586129.00000,5205034.00000
160,586379.000000000000000,586879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,586629.00000,5205034.00000
161,586879.000000000000000,587379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,587129.00000,5205034.00000
162,587379.000000000000000,587879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,587629.00000,5205034.00000
163,587879.000000000000000,588379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,588129.00000,5205034.00000
164,588379.000000000000000,588879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,588629.00000,5205034.00000
165,588879.000000000000000,589379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,589129.00000,5205034.00000
166,589379.000000000000000,589879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,589629.00000,5205034.00000
167,589879.000000000000000,590379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,590129.00000,5205034.00000
168,590379.000000000000000,590879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,590629.00000,5205034.00000
169,590879.000000000000000,591379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,591129.00000,5205034.00000
170,591379.000000000000000,591879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,591629.00000,5205034.00000
171,591879.000000000000000,592379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,592129.00000,5205034.00000
172,592379.000000000000000,592879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,592629.00000,5205034.00000
173,592879.000000000000000,593379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,593129.00000,5205034.00000
174,593379.000000000000000,593879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,593629.00000,5205034.00000
175,593879.000000000000000,594379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,594129.00000,5205034.00000
176,594379.000000000000000,594879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,594629.00000,5205034.00000
177,594879.000000000000000,595379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,595129.00000,5205034.00000
178,595379.000000000000000,595879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,595629.00000,5205034.00000
179,595879.000000000000000,596379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,596129.00000,5205034.00000
180,596379.000000000000000,596879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,596629.00000,5205034.00000
181,596879.000000000000000,597379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,597129.00000,5205034.00000
182,597379.000000000000000,597879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,597629.00000,5205034.00000
183,597879.000000000000000,598379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,598129.00000,5205034.00000
184,598379.000000000000000,598879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,598629.00000,5205034.00000
185,598879.000000000000000,599379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,599129.00000,5205034.00000
186,599379.000000000000000,599879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,599629.00000,5205034.00000
187,599879.000000000000000,600379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,600129.00000,5205034.00000
188,600379.000000000000000,600879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,600629.00000,5205034.00000
189,600879.000000000000000,601379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,601129.00000,5205034.00000
190,601379.000000000000000,601879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,601629.00000,5205034.00000
191,601879.000000000000000,602379.000000000000000,5204784.000000000000000,5205284.000000000000000,9,602129.00000,5205034.00000
192,602379.000000000000000,602879.000000000000000,5204784.000000000000000,5205284.000000000000000,0,602629.00000,5205034.00000
193,602879.000000000000000,603379.000000000000000,5204784.000000000000000,5205284.000000000000000,0,603129.00000,5205034.00000
